create,cat,sub-cat,urgency,impact,assign,cmt-resolve,resolve,cmt-close
"<p style=""background-color:yellow;"">1353</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">7601</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">214</p>","<p style=""background-color:yellow;"">-1</p>"
1875,57,779,65,1964,11133,263,146,452
1519,65,785,57,1493,8556,237,286,-1
1665,61,864,64,1553,15930,82,313,-1
1151,79,706,57,1215,8309,247,188,399
1459,51,601,59,1107,10641,201,137,421
1386,77,774,-1,-1,13615,173,268,467
1887,29,779,-1,-1,8532,299,229,-1
1012,-1,-1,60,1247,11951,194,299,584
1550,-1,-1,54,1454,11220,240,108,444
"<p style=""background-color:yellow;"">5411</p>","<p style=""background-color:yellow;"">48</p>","<p style=""background-color:yellow;"">1163</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">7584</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">274</p>","<p style=""background-color:yellow;"">-1</p>"
1481,58,741,58,1041,13707,219,198,528
1402,65,374,55,1275,13612,270,188,-1
1469,50,486,47,1796,10375,277,233,-1
1864,75,703,60,1128,11746,273,273,476
1389,-1,-1,57,1387,12385,264,215,529
1200,-1,-1,66,1394,13666,226,261,600
1313,43,845,68,1544,8224,248,178,555
1250,52,672,-1,-1,10592,201,211,463
"<p style=""background-color:yellow;"">1885</p>","<p style=""background-color:yellow;"">75</p>","<p style=""background-color:yellow;"">650</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">12417</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">243</p>","<p style=""background-color:yellow;"">-1</p>"
1597,27,1048,-1,-1,11091,186,218,440
1299,-1,-1,60,1203,6706,240,182,605
1696,51,816,52,1781,7201,213,267,451
"<p style=""background-color:yellow;"">1148</p>","<p style=""background-color:yellow;"">57</p>","<p style=""background-color:yellow;"">1030</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">6761</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">209</p>","<p style=""background-color:yellow;"">-1</p>"
1329,49,767,-1,-1,15064,473,158,410
1797,-1,-1,58,1535,11193,143,339,-1
1165,60,915,51,1080,7155,244,213,540
"<p style=""background-color:yellow;"">1379</p>","<p style=""background-color:yellow;"">86</p>","<p style=""background-color:yellow;"">519</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">9286</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">229</p>","<p style=""background-color:yellow;"">-1</p>"
1326,50,691,-1,-1,6856,271,254,491
"<p style=""background-color:yellow;"">1377</p>","<p style=""background-color:yellow;"">68</p>","<p style=""background-color:yellow;"">918</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">15159</p>","<p style=""background-color:yellow;"">1279</p>","<p style=""background-color:yellow;"">328</p>","<p style=""background-color:yellow;"">499</p>"
999,-1,-1,55,1555,13018,-1,199,-1
1417,52,732,64,1528,8458,-1,279,330
"<p style=""background-color:yellow;"">1681</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">7981</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">212</p>","<p style=""background-color:yellow;"">-1</p>"
1335,54,784,-1,-1,14929,-1,336,437
1489,83,468,-1,-1,13509,232,273,-1
1604,52,770,-1,-1,9732,-1,205,-1
1371,52,914,56,1213,14812,-1,192,414
1318,67,531,60,1406,8046,-1,193,525
1623,58,684,55,1346,11469,189,356,602
1447,-1,-1,59,1431,12888,210,280,404
1340,-1,-1,60,1774,14194,-1,235,521
1770,47,530,60,1520,12975,277,251,424
1612,58,782,52,1544,8817,-1,243,333
1578,60,786,-1,-1,8775,189,238,476
1220,65,639,59,1374,8262,258,205,499
1407,-1,-1,-1,-1,8742,192,287,479
980,68,1055,59,1217,6111,187,200,476
1685,61,784,-1,-1,12305,216,301,504
920,-1,-1,59,1908,12709,205,194,-1
1410,-1,-1,51,1547,8510,254,264,452
1213,50,504,-1,-1,12392,-1,264,420
1223,-1,-1,61,1297,13288,-1,301,501
1513,84,788,68,1428,14498,173,300,549
1272,-1,-1,57,1074,15706,272,337,577
"<p style=""background-color:yellow;"">991</p>","<p style=""background-color:yellow;"">61</p>","<p style=""background-color:yellow;"">350</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">14632</p>","<p style=""background-color:yellow;"">270</p>","<p style=""background-color:yellow;"">358</p>","<p style=""background-color:yellow;"">-1</p>"
1528,66,938,58,1602,6915,284,239,546
1685,-1,-1,61,1207,12124,261,260,490
1111,-1,-1,58,1449,11400,259,301,384
1231,-1,-1,52,1595,8976,-1,248,444
1261,80,569,62,1572,11202,-1,441,-1
2015,55,853,61,1322,68513,262,178,477
1036,34,973,57,1476,12315,234,272,455
1411,54,647,59,1333,14285,274,133,475
1226,67,495,66,1629,10278,-1,259,462
1529,69,1089,52,1524,10940,209,1840,496
1148,-1,-1,64,1393,7710,179,252,-1
1605,75,828,60,1513,8701,-1,262,590
956,51,669,58,1473,11845,239,302,-1
1412,54,612,60,1551,12135,228,290,384
2016,50,355,63,1542,9483,-1,239,439
1644,68,886,62,1660,14146,221,349,-1
1273,40,713,-1,-1,15469,221,259,460
"<p style=""background-color:yellow;"">1478</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">14942</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">240</p>","<p style=""background-color:yellow;"">475</p>"
1779,61,533,63,1707,10080,267,246,541
1256,-1,-1,55,1446,8165,-1,252,415
1546,51,451,66,1124,8353,252,262,-1
1262,48,581,64,1495,7718,220,203,432
2089,-1,-1,58,1463,9309,208,298,444
"<p style=""background-color:yellow;"">1599</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">53</p>","<p style=""background-color:yellow;"">1607</p>","<p style=""background-color:yellow;"">13121</p>","<p style=""background-color:yellow;"">269</p>","<p style=""background-color:yellow;"">1899</p>","<p style=""background-color:yellow;"">450</p>"
1608,78,865,65,1454,10800,234,149,-1
1079,34,825,68,1168,12857,-1,236,425
1441,68,866,-1,-1,8472,212,251,554
1443,-1,-1,-1,-1,8867,266,197,421
1505,65,560,62,1332,6541,-1,278,424
1345,-1,-1,61,2036,14988,295,314,477
898,60,706,67,1655,13675,252,843,496
1574,78,941,68,1412,11164,216,175,484
1432,48,423,53,1425,11023,242,130,425
1104,69,582,51,1300,4146,233,322,-1
1463,64,717,54,1646,11917,247,376,-1
1591,-1,-1,-1,-1,9433,238,236,412
1400,-1,-1,57,1557,14369,226,178,529
1198,-1,-1,52,1223,7290,228,280,-1
1442,62,642,53,1576,11149,210,297,401
1671,67,876,70,1640,13051,279,156,-1
1387,61,548,57,1577,10694,203,173,510
1470,-1,-1,55,1146,7362,214,198,510
1726,77,722,-1,-1,12146,226,239,627
1389,72,8,67,1308,9915,230,232,455
1243,67,540,-1,-1,11886,222,229,-1
824,31,550,50,1559,14482,237,207,-1
1086,46,730,61,1771,10300,257,271,479
1547,56,971,-1,-1,12912,271,269,555
1070,75,671,64,1340,8656,-1,278,408
1849,-1,-1,66,1420,12174,342,243,422
1627,56,497,68,816,14615,219,334,480
1377,82,601,46,1709,14114,221,227,-1
1583,-1,-1,57,1871,12748,-1,291,473
1766,70,769,56,1497,6030,256,287,469
802,56,843,-1,-1,10035,-1,268,567
1663,64,878,58,1576,9425,257,273,465
1351,48,425,63,1794,10589,-1,158,-1
1365,55,879,68,1185,13287,219,189,512
1198,70,652,-1,-1,11187,246,254,569
1631,-1,-1,60,1630,12406,283,236,471
1585,53,622,54,1255,12065,-1,202,783
1258,60,926,70,1310,7934,-1,278,-1
1346,64,808,60,1253,10620,-1,264,542
1688,38,754,60,1622,8247,255,307,-1
1454,51,868,65,1547,13440,289,185,467
1836,72,734,61,1550,16862,-1,342,485
1157,-1,-1,-1,-1,10393,266,268,436
1413,76,925,54,1425,8315,-1,235,431
1545,67,608,56,1391,9758,-1,184,458
1119,391,848,60,1441,11437,213,225,394
1575,67,889,61,1367,12439,222,236,547
1557,63,1041,61,1443,11788,278,225,477
1258,-1,-1,51,1171,8788,201,277,509
1521,62,853,60,1245,5295,-1,159,512
1735,32,450,65,1654,9679,251,294,-1
1741,-1,-1,72,1541,10670,264,255,402
1102,-1,-1,56,1470,10498,214,207,505
"<p style=""background-color:yellow;"">1869</p>","<p style=""background-color:yellow;"">58</p>","<p style=""background-color:yellow;"">1042</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">14014</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">102</p>","<p style=""background-color:yellow;"">538</p>"
1391,60,683,60,1718,10991,264,226,578
1565,46,510,-1,-1,12279,236,132,535
1512,77,902,57,1748,9040,241,231,510
1202,61,348,61,1204,11425,-1,194,-1
1260,66,872,63,1361,13491,248,229,579
1689,46,821,58,1408,12658,-1,261,-1
1247,60,990,65,1747,12793,-1,290,458
"<p style=""background-color:yellow;"">1940</p>","<p style=""background-color:yellow;"">64</p>","<p style=""background-color:yellow;"">863</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">11965</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">266</p>","<p style=""background-color:yellow;"">-1</p>"
1689,77,502,-1,-1,10471,-1,247,-1
1504,-1,-1,62,1185,9558,-1,218,-1
1226,83,719,60,1321,6482,278,315,437
1752,51,673,61,1303,9084,241,227,-1
1667,73,820,62,1288,13575,172,272,-1
1328,48,701,65,1328,12320,254,250,501
1647,52,625,-1,-1,7575,268,144,548
1550,-1,-1,72,1461,10462,214,166,421
1675,65,547,74,1304,14081,294,238,426
1714,-1,-1,53,1619,10402,-1,261,-1
1531,58,651,61,1143,9270,208,175,420
1484,47,682,60,1577,11835,222,266,-1
1056,73,607,57,1311,10728,247,324,396
1363,79,615,53,1287,9653,221,220,510
1622,59,514,-1,-1,10027,217,205,-1
1436,58,668,64,1378,6265,208,192,473
1159,-1,-1,55,1354,9664,-1,210,427
1676,45,590,-1,-1,10566,-1,283,550
1260,48,574,-1,-1,8728,-1,228,482
1132,-1,-1,65,1182,12575,239,278,-1
1414,58,702,61,1418,6095,-1,271,-1
1755,52,606,-1,-1,10546,221,210,500
1590,57,607,61,1489,11421,-1,357,478
1761,-1,-1,58,1243,9170,227,261,-1
"<p style=""background-color:yellow;"">1709</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">12970</p>","<p style=""background-color:yellow;"">230</p>","<p style=""background-color:yellow;"">110</p>","<p style=""background-color:yellow;"">601</p>"
1451,53,411,-1,-1,6213,214,322,471
1297,-1,-1,60,1753,9228,224,153,518
1364,29,915,59,1709,11163,234,276,447
1609,47,826,65,1408,10739,215,195,575
870,-1,-1,57,1643,10768,242,324,479
1339,-1,-1,66,1502,6772,-1,259,451
1224,73,637,60,1269,9865,269,189,489
1553,61,618,-1,-1,14516,244,181,541
1671,-1,-1,-1,-1,12270,-1,306,466
1338,61,499,57,1378,6228,253,205,530
1252,-1,-1,65,1392,9100,238,191,1429
1323,57,473,62,1342,10053,211,206,413
1346,-1,-1,61,1254,11976,-1,300,539
1343,66,589,55,1412,11043,222,307,-1
1757,51,936,58,1446,13164,208,250,-1
1309,64,880,-1,-1,12992,210,166,403
1258,-1,-1,64,1430,8760,-1,205,445
1304,62,669,-1,-1,7576,258,110,437
1559,65,975,66,1365,5490,255,334,602
1714,60,585,-1,-1,16589,-1,268,438
1305,35,703,55,1572,9191,238,222,465
1738,60,855,56,1410,12434,217,177,-1
1989,70,1261,62,1472,10091,-1,233,-1
1192,-1,-1,61,1612,10997,183,243,436
1190,-1,-1,60,1214,11201,-1,208,493
1149,62,840,54,1789,12550,238,254,529
1639,-1,-1,60,1395,10382,286,342,400
1207,58,420,59,1238,13011,-1,266,-1
1723,-1,-1,61,1061,10385,269,207,-1
1687,-1,-1,-1,-1,11545,-1,179,493
1576,-1,-1,54,1412,11929,282,187,454
1514,74,410,54,1021,10668,176,286,386
1781,-1,-1,54,1191,10915,231,162,524
"<p style=""background-color:yellow;"">1841</p>","<p style=""background-color:yellow;"">68</p>","<p style=""background-color:yellow;"">267</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">10427</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">316</p>","<p style=""background-color:yellow;"">-1</p>"
1382,-1,-1,59,1631,11219,-1,377,465
1651,71,671,63,1322,10843,199,219,433
1416,66,1034,62,1177,11858,-1,213,-1
1111,55,581,60,1570,12350,257,207,-1
1468,43,782,64,1531,6398,218,264,458
1760,44,790,60,1530,15473,264,161,501
1667,65,4520,61,1512,11699,212,312,484
1732,50,835,-1,-1,6377,295,146,440
1060,57,651,58,972,15019,199,299,405
"<p style=""background-color:yellow;"">1659</p>","<p style=""background-color:yellow;"">50</p>","<p style=""background-color:yellow;"">3807</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">15075</p>","<p style=""background-color:yellow;"">230</p>","<p style=""background-color:yellow;"">212</p>","<p style=""background-color:yellow;"">-1</p>"
1126,-1,-1,58,1646,11907,253,177,-1
1604,88,710,-1,-1,11264,-1,164,471
1653,-1,-1,52,1210,6550,242,256,458
1733,-1,-1,59,1658,9528,289,170,497
1143,-1,-1,60,1527,11991,302,301,401
1311,-1,-1,-1,-1,10286,233,151,-1
1317,61,662,-1,-1,4040,244,243,544
1383,-1,-1,60,1252,9570,251,131,440
1503,-1,-1,58,1802,12948,264,119,529
1291,-1,-1,65,1365,12801,271,204,417
1827,-1,-1,62,1638,13283,286,316,510
1524,50,853,-1,-1,10262,-1,235,435
1344,-1,-1,-1,-1,9760,259,379,493
1351,-1,-1,54,1683,9308,288,204,-1
1461,-1,-1,55,1375,9584,-1,265,499
1262,58,918,-1,-1,8861,250,392,545
1559,61,955,58,1398,8110,203,185,-1
1652,-1,-1,-1,-1,11974,285,244,-1
"<p style=""background-color:yellow;"">1745</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">11802</p>","<p style=""background-color:yellow;"">249</p>","<p style=""background-color:yellow;"">135</p>","<p style=""background-color:yellow;"">-1</p>"
1391,-1,-1,-1,-1,8972,259,295,468
1154,60,982,41,1640,13580,-1,254,442
1178,72,918,61,1473,12499,218,201,427
1195,-1,-1,68,1612,15142,190,257,-1
1258,60,777,-1,-1,9111,275,200,-1
"<p style=""background-color:yellow;"">1364</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">54</p>","<p style=""background-color:yellow;"">1012</p>","<p style=""background-color:yellow;"">10750</p>","<p style=""background-color:yellow;"">260</p>","<p style=""background-color:yellow;"">2225</p>","<p style=""background-color:yellow;"">415</p>"
"<p style=""background-color:yellow;"">1131</p>","<p style=""background-color:yellow;"">126</p>","<p style=""background-color:yellow;"">817</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">11365</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">258</p>","<p style=""background-color:yellow;"">-1</p>"
1458,-1,-1,59,1704,11308,216,292,564
"<p style=""background-color:yellow;"">1888</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">11788</p>","<p style=""background-color:yellow;"">224</p>","<p style=""background-color:yellow;"">108</p>","<p style=""background-color:yellow;"">-1</p>"
1667,42,930,63,1443,8390,243,174,443
"<p style=""background-color:yellow;"">1520</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">13300</p>","<p style=""background-color:yellow;"">245</p>","<p style=""background-color:yellow;"">445</p>","<p style=""background-color:yellow;"">492</p>"
1351,55,652,-1,-1,8894,215,192,434
1529,-1,-1,65,1650,9796,274,291,-1
1028,-1,-1,65,1660,13084,-1,196,437
1380,49,731,60,1402,10970,258,247,-1
1161,71,941,-1,-1,13665,-1,279,513
1465,-1,-1,62,1217,9032,294,208,534
